시군구,구,동,본번,부번,좌표X,좌표Y
서울특별시 강남구 개포동,강남구,개포동,658,1,127.05721,37.476763
서울특별시 강남구 개포동,강남구,개포동,652,0,127.0559898,37.4838941
서울특별시 강남구 개포동,강남구,개포동,12,2,127.0766243,37.4962963
서울특별시 강남구 개포동,강남구,개포동,141,0,127.0585214,37.4800022
서울특별시 강남구 개포동,강남구,개포동,187,0,127.0680279,37.4878016
서울특별시 강남구 개포동,강남구,개포동,185,0,127.0726818,37.489122
서울특별시 강남구 논현동,강남구,논현동,245,0,127.0381516,37.5147528
서울특별시 강남구 논현동,강남구,논현동,58,2,127.0289105,37.5138873
서울특별시 강남구 논현동,강남구,논현동,276,1,127.0389311,37.509505
서울특별시 강남구 대치동,강남구,대치동,1014,3,127.0583563,37.4963363
서울특별시 강남구 대치동,강남구,대치동,974,0,127.0610401,37.5008929
서울특별시 강남구 대치동,강남구,대치동,988,4,127.061209114,37.499905774
서울특별시 강남구 대치동,강남구,대치동,985,0,127.0656002,37.5011653
서울특별시 강남구 대치동,강남구,대치동,1025,0,127.053809,37.496298
서울특별시 강남구 대치동,강남구,대치동,891,6,127.0540217,37.5056902
서울특별시 강남구 도곡동,강남구,도곡동,527,0,127.0489846,37.4930287
서울특별시 강남구 도곡동,강남구,도곡동,933,0,127.0390313,37.4870576
서울특별시 강남구 도곡동,강남구,도곡동,934,10,127.0371243,37.488203
서울특별시 강남구 도곡동,강남구,도곡동,538,3,127.050853119,37.495329456
서울특별시 강남구 대치동,강남구,대치동,888,0,127.0545833,37.4949838
서울특별시 강남구 대치동,강남구,대치동,316,0,127.0650701,37.4977415
서울특별시 강남구 개포동,강남구,개포동,189,0,127.0684259766317,37.486148038425085
서울특별시 강남구 개포동,강남구,개포동,185,0,127.07086341453855,37.489140425013815
서울특별시 강남구 개포동,강남구,개포동,655,1,127.05267332661889,37.48168178553919
서울특별시 강남구 개포동,강남구,개포동,649,0,127.05469846629647,37.48540304719043
서울특별시 강남구 개포동,강남구,개포동,1164,30,127.05479523870223,37.47481240155738
서울특별시 강남구 개포동,강남구,개포동,1204,5,127.05031303459617,37.4773012174338
서울특별시 강남구 개포동,강남구,개포동,12,0,127.0750905390548,37.49574465524691
서울특별시 강남구 개포동,강남구,개포동,1164,13,127.05309665133703,37.47327367141358
서울특별시 강남구 개포동,강남구,개포동,656,0,127.05392678189403,37.476314402745366
서울특별시 강남구 개포동,강남구,개포동,1164,7,127.052375609602,37.47281124666442
서울특별시 강남구 개포동,강남구,개포동,166,4,127.06128483339236,37.48291288760233
서울특별시 강남구 개포동,강남구,개포동,179,0,127.06231505881236,37.488568248089805
서울특별시 강남구 개포동,강남구,개포동,651,1,127.0569741486418,37.48504204410455
서울특별시 강남구 개포동,강남구,개포동,1260,2,127.04877289101591,37.47951269787113
서울특별시 강남구 개포동,강남구,개포동,1260,4,127.04912328583877,37.479550090014165
서울특별시 강남구 개포동,강남구,개포동,172,3,127.06014553261531,37.484314776683696
서울특별시 강남구 개포동,강남구,개포동,653,0,127.05438308324126,37.483274643925654
서울특별시 강남구 개포동,강남구,개포동,654,0,127.05192674100545,37.4835898442124
서울특별시 강남구 개포동,강남구,개포동,177,0,127.06116271648763,37.48832060577119
서울특별시 강남구 논현동,강남구,논현동,195,1,127.02893331801633,37.5067374515645
서울특별시 강남구 논현동,강남구,논현동,196,0,127.02764612084168,37.50631768675497
서울특별시 강남구 논현동,강남구,논현동,274,0,127.03817565842505,37.51065879954065
서울특별시 강남구 논현동,강남구,논현동,103,11,127.03884439707554,37.51966596607663
